"Lake","Fish_Species","Fish_Length","Trophic_Pos"
"L1","S1",105.150115691772,2.6023875978931
"L1","S1",194.57075096842,2.70352247625625
"L1","S1",294.363575308314,2.74287845830178
"L1","S1",413.529532607369,2.7377430387686
"L1","S1",237.473915481705,2.7859356006969
"L1","S1",107.931505900233,2.7238621251473
"L1","S1",221.507849484028,2.65077031409172
"L1","S1",303.36889411927,2.72071363028074
"L1","S1",407.430874545432,2.86687147972226
"L1","S1",248.544245911384,2.67071737347594
"L1","S2",114.822914095222,3.27553262520706
"L1","S2",193.232561000064,3.46473819240054
"L1","S2",294.325037507607,3.74742860403361
"L1","S2",395.778159519368,3.80916965703369
"L1","S2",251.841791713059,3.65696002580859
"L1","S2",96.5930476182902,3.25125538282612
"L1","S2",206.517643660842,3.31345384444463
"L1","S2",301.536837304871,3.79565621383026
"L1","S2",407.29429224264,3.9755776077543
"L1","S2",252.933333532257,3.50956488898882
"L1","S3",98.1127523643297,3.31258673744993
"L1","S3",208.689071489804,3.42198456132666
"L1","S3",290.754467185535,3.72650363115386
"L1","S3",416.754706858977,4.01507010548968
"L1","S3",239.620333045119,3.46481821956374
"L1","S3",105.761999574052,3.10588963272301
"L1","S3",224.332787342689,3.63517082645598
"L1","S3",318.985435991998,3.64718758785182
"L1","S3",426.363057715161,3.98660203961137
"L1","S3",238.683595145721,3.32965201356085
"L2","S1",111.015196951078,2.68347684809256
"L2","S1",192.90482509424,2.79257212213145
"L2","S1",311.806992194216,2.75723413439738
"L2","S1",399.682265680185,2.96957646426424
"L2","S1",252.988263204918,2.8597581371101
"L2","S1",93.736642193695,2.65188618176647
"L2","S1",209.86794335431,2.89272170147177
"L2","S1",305.062928977272,2.74012097791501
"L2","S1",420.291515520331,3.06822908103727
"L2","S1",281.484783893013,2.84386262019799
"L2","S2",90.4233462917703,3.24952662867084
"L2","S2",193.706011353074,3.37611959912392
"L2","S2",296.62998468239,3.77062582550544
"L2","S2",403.818079405307,3.90871068495554
"L2","S2",245.500310411885,3.58191573783071
"L2","S2",117.646963003163,3.27766373219939
"L2","S2",211.427427343338,3.43627713079993
"L2","S2",321.130360268532,3.87178102346615
"L2","S2",411.067379793081,3.98074143890325
"L2","S2",258.987126946409,3.83750625057895
"L2","S3",110.138200347742,3.12939251963733
"L2","S3",214.598896425014,3.23767703163865
"L2","S3",309.819132372265,3.72971085748392
"L2","S3",401.790220588449,3.861581826661
"L2","S3",254.281983975317,3.61958903486107
"L2","S3",127.803089243849,3.17750293064328
"L2","S3",229.157979120928,3.48260050557433
"L2","S3",318.267311345698,3.74904274307835
"L2","S3",413.067054552766,4.19223024490689
"L2","S3",279.917631511259,3.60069647194715
"L3","S1",102.307993011063,2.28613759386864
"L3","S1",192.499767327783,2.55128946166855
"L3","S1",308.684143334231,2.78680517218203
"L3","S1",404.881432941778,2.52785945760542
"L3","S1",259.5711501574,2.63697524656968
"L3","S1",109.763724078943,2.48997432079013
"L3","S1",214.148784846302,2.57922426900257
"L3","S1",299.388565283568,2.81906346061795
"L3","S1",425.019504843689,2.91169111349471
"L3","S1",256.825249595977,2.77157275146111
"L3","S2",103.484093910523,3.17710346762711
"L3","S2",199.36006037544,3.39466288314775
"L3","S2",290.403146269372,3.59474641827228
"L3","S2",408.749975625456,3.94596040288933
"L3","S2",230.852896681725,3.47099591216843
"L3","S2",112.866313245875,3.01430869868026
"L3","S2",197.53698901691,3.22996938616269
"L3","S2",325.011022474854,3.50506923777354
"L3","S2",397.440103527776,4.03476321111941
"L3","S2",249.566253507837,3.41508682199229
"L3","S3",92.7399326892272,3.14076321694683
"L3","S3",216.544894840766,3.28430130637822
"L3","S3",297.086778179906,3.64555866251616
"L3","S3",417.245843698501,3.66341355663507
"L3","S3",244.827674888655,3.44006891375921
"L3","S3",103.271110425968,3.11932271494108
"L3","S3",236.4624736326,3.22968818623674
"L3","S3",316.009908358707,3.53272769849887
"L3","S3",402.5825146964,3.79060359906286
"L3","S3",265.056255597758,3.55496997283953
"L4","S1",103.639387246264,2.18953330785046
"L4","S1",204.276235889808,2.48300746265854
"L4","S1",288.441167337998,2.55234717396758
"L4","S1",412.157095161993,2.777126429707
"L4","S1",239.709868825303,2.61362714224829
"L4","S1",112.226104288311,2.12367373132547
"L4","S1",210.165484788658,2.25652042832699
"L4","S1",304.372153159038,2.8125141705787
"L4","S1",409.599939019853,2.95718395576774
"L4","S1",249.646024987526,2.39714966949549
"L4","S2",91.652265085002,2.80856231346589
"L4","S2",190.849573030826,3.32522238802449
"L4","S2",284.928493490698,3.37352606553674
"L4","S2",404.77930152412,3.66291548771665
"L4","S2",253.788062093586,3.25893488365309
"L4","S2",128.582619999434,3.04304381551035
"L4","S2",211.507501389052,3.12392781635515
"L4","S2",306.623421311201,3.44412899403863
"L4","S2",407.638776035623,3.54037227309218
"L4","S2",276.475841990807,3.44529157193298
"L4","S3",119.613184894897,2.97418900430681
"L4","S3",202.760093122538,3.35688103090294
"L4","S3",314.568860003011,3.52057650861675
"L4","S3",405.625043300246,3.87573143561992
"L4","S3",249.611656821268,3.14022300076689
"L4","S3",122.410340920159,2.97983172876574
"L4","S3",223.528474115663,3.10099007978037
"L4","S3",298.208281187388,3.57212798561159
"L4","S3",402.272128230386,3.53731802950076
"L4","S3",272.683580721619,3.35479157341823
"L5","S1",98.0562498708414,2.86249927853267
"L5","S1",203.399763005262,2.86849650367026
"L5","S1",313.397812351305,3.06875607332527
"L5","S1",416.778497851649,2.94377453875816
"L5","S1",244.389294254178,2.91274032478264
"L5","S1",89.1775242010013,2.71786735056498
"L5","S1",210.945085807348,2.80169878160589
"L5","S1",309.652245955901,3.06046291172134
"L5","S1",411.101728530753,3.16357318000066
"L5","S1",257.507770602631,3.04203881897381
"L5","S2",106.26399356156,3.29477863526485
"L5","S2",202.375341849037,3.53722048585956
"L5","S2",299.905188463923,3.85707705559584
"L5","S2",400.488614180909,4.05091325539884
"L5","S2",262.682076436595,3.51761651778983
"L5","S2",119.981540833565,3.44854524195676
"L5","S2",213.737091503481,3.61063455363435
"L5","S2",327.56395495656,3.86398763561415
"L5","S2",421.023209807434,4.09912350522486
"L5","S2",259.500370081113,3.84185140299172
"L5","S3",113.940962723057,3.54436947307038
"L5","S3",196.574066392887,3.42003015998374
"L5","S3",293.359604921811,3.69547066360896
"L5","S3",399.004144195748,4.12089908007342
"L5","S3",272.569010576166,3.59663573266067
"L5","S3",111.92609147563,3.11639084870611
"L5","S3",215.88513698949,3.62984953840335
"L5","S3",315.508964047839,3.85140121370558
"L5","S3",415.007454189835,4.09191922383777
"L5","S3",256.472930829094,3.88078380778481
"L6","S1",94.6993972723586,3.11249927853267
"L6","S1",201.381238416807,3.11849650367026
"L6","S1",317.630216811995,3.31875607332527
"L6","S1",384.276387096414,3.19377453875816
"L6","S1",258.234643262793,3.16274032478264
"L6","S1",121.985612886997,2.96786735056498
"L6","S1",210.453653138641,3.05169878160589
"L6","S1",305.404697545176,3.31046291172134
"L6","S1",402.656116118418,3.41357318000066
"L6","S1",277.791599260616,3.29203881897381
"L6","S2",107.117771242958,3.54477863526485
"L6","S2",192.235017194865,3.78722048585956
"L6","S2",299.810737173301,4.10707705559584
"L6","S2",406.7414620514,4.30091325539884
"L6","S2",253.171936083256,3.76761651778983
"L6","S2",118.782895475183,3.69854524195676
"L6","S2",216.626602823966,3.86063455363435
"L6","S2",312.019195793189,4.11398763561415
"L6","S2",405.200820315474,4.34912350522486
"L6","S2",276.948170925415,4.09185140299172
"L6","S3",94.6527614696626,3.79436947307038
"L6","S3",189.927758607707,3.67003015998374
"L6","S3",298.418924677957,3.94547066360896
"L6","S3",403.228129215389,4.37089908007342
"L6","S3",233.071751765782,3.84663573266067
"L6","S3",119.317775424166,3.36639084870611
"L6","S3",208.335503757586,3.87984953840335
"L6","S3",305.24045094655,4.10140121370558
"L6","S3",409.235265114883,4.34191922383777
"L6","S3",267.349480233561,4.13078380778481
